Account-Number,Account-Description,Region,Volume-ID,Volume-Status,Volume-Size,Volume-Type,Tag-Name,Tag-Value
357044226454,EC2,us-west-2,vol-0c815be0f0839db16,in-use,125,gp3,ClusterName,testing
357044226454,EC2,us-west-2,vol-0379823794aadc33f,in-use,8,gp2,ClusterName,testing
357044226454,EC2,us-east-2,vol-0b816895b4fc398e2,in-use,125,gp3,ClusterName,testinguseast2
357044226454,EC2,us-east-2,vol-0c106ad48dd524cdd,in-use,8,gp2,ClusterName,testinguseast2
357044226454,EC2,us-east-1,vol-097e76211ce94a4ef,in-use,125,gp3,ClusterName,testinguseast1
357044226454,EC2,us-east-1,vol-09fe4e272c41381fb,in-use,8,gp2,ClusterName,testinguseast1
357044226454,EC2,eu-west-1,vol-06f9fe7a8aa1707d8,in-use,125,gp3,ClusterName,testingeuw1
357044226454,EC2,eu-west-1,vol-0a2a6eb16a34671d1,in-use,8,gp2,ClusterName,testingeuw1
357044226454,EC2,us-west-2,vol-0c815be0f0839db16,in-use,125,gp3,LaunchRun,6ec61c09-b016-47e4-8786-6f4912c320ee
357044226454,EC2,us-west-2,vol-0379823794aadc33f,in-use,8,gp2,LaunchRun,6ec61c09-b016-47e4-8786-6f4912c320ee
357044226454,EC2,us-east-2,vol-0b816895b4fc398e2,in-use,125,gp3,LaunchRun,fcb25ece-9e9d-4c49-ba97-a2cd9b7eb907
357044226454,EC2,us-east-2,vol-0c106ad48dd524cdd,in-use,8,gp2,LaunchRun,fcb25ece-9e9d-4c49-ba97-a2cd9b7eb907
357044226454,EC2,us-east-1,vol-097e76211ce94a4ef,in-use,125,gp3,LaunchRun,9dafd29f-e0d7-48d8-95df-42d183c7ed4f
357044226454,EC2,us-east-1,vol-09fe4e272c41381fb,in-use,8,gp2,LaunchRun,9dafd29f-e0d7-48d8-95df-42d183c7ed4f
357044226454,EC2,eu-west-1,vol-06f9fe7a8aa1707d8,in-use,125,gp3,LaunchRun,3ec0dfb7-b804-4c2c-ab22-84fe31e1117e
357044226454,EC2,eu-west-1,vol-0a2a6eb16a34671d1,in-use,8,gp2,LaunchRun,3ec0dfb7-b804-4c2c-ab22-84fe31e1117e
338557412966,HME,us-west-2,vol-0b87903a534218cfc,in-use,8,gp2,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-0fbb80960610d14e5,in-use,8,gp2,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-04e9aa04879fdc01c,in-use,10,gp3,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-0607a9e0d80ce60c4,in-use,10,gp3,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-06f8d0af0242f5dc2,in-use,10,gp3,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-0f24855e2b72a454b,in-use,10,gp3,LaunchRun,722e494a-0ce0-4b0a-b730-ad2dc4c9c69c
338557412966,HME,us-west-2,vol-0ba87dc975514358a,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-002baac38d771b9c2,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-0eccf1e0e931fed2e,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-0be0967671a6939a3,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-0153fa960adf1c4e7,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-04f633cee68594757,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-04f80899dc1cf9c8a,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-0471eefa3549f497d,in-use,8,gp2,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-0ef03c25b00aadd1e,in-use,8,gp2,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
338557412966,HME,us-west-2,vol-02e8b100699f556d7,in-use,125,sc1,LaunchRun,cef6550d-b9fb-410a-a78c-1a36586b4c05
